Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
PI 18:0_22:4,0.006248458,0.00497803,0.004379483,0.003273985,0.009999587,0.004115644,0.002138454,0.008717486,0.006799456,0.004829674,0.002223061,0.005537053,0.002855277,0.00241015,0.001856454,0.002057283,0.004302737,0.007213222,0.004300172,0.00164238
PI 18:1_18:2,0.004637383,0.000380588,0.007163508,0.000188687,0.0,0.000558735,0.000771438,0.000424891,0.002909548,0.004716424,0.032906935,0.004698353,0.002826454,0.009763577,0.013492675,0.006364239,0.006328704,0.00144823,0.004362324,0.010050946
PI 20:2_18:3,0.009268334,0.001356703,0.002526759,0.001063054,0.001300635,0.001294852,0.001024466,0.000966094,0.002564761,0.002602972,0.057216925,0.003836453,0.001296366,0.048824325,0.025500373,0.004360235,0.005727432,0.001160969,0.001431528,0.028732686
PI 20:3,0.00069991,0.003419223,0.00155433,0.000391041,0.000730648,0.000169347,0.001110026,0.001453603,0.000945482,0.001553521,0.004977766,0.003345536,0.000356933,0.00586536,0.002161077,0.000880971,0.00111896,0.005973245,0.000321946,0.000401696
PI 22:0_18:3,0.02093286,0.019945681,0.019817805,0.018102108,0.032354866,0.016775959,0.00841795,0.040665292,0.030075509,0.019177583,0.010591505,0.023458803,0.011405222,0.007989409,0.007832489,0.007265562,0.020543506,0.027549393,0.022718626,0.005297606
PI 24:0_16:3,0.002663016,0.003101594,0.003300047,0.001936203,0.003702279,0.002084279,0.001512787,0.003968208,0.003692672,0.003398664,0.001688427,0.003111205,0.001247398,0.00116894,0.001015155,0.001355508,0.001996413,0.002730401,0.00231309,0.000872211
PI 32:0,0.00152148,0.002445496,0.002042248,0.023942145,0.001845785,0.016858861,0.000757498,0.000515476,0.000633748,0.00074316,0.005060612,0.000930947,0.006586795,0.001967455,0.000510706,0.016287055,0.004413677,0.001698206,0.007295651,0.001584419
PI 32:5,6.35318e-05,0.0,0.00023848,0.000153433,0.0,0.0,0.0,0.0,0.0,0.000187203,0.000415465,0.000839608,0.0,0.100119076,0.000270698,0.000160078,0.000144844,0.000131197,5.03106e-05,0.000531168
PI 32:7,0.001903805,0.001379677,0.006413127,7.66044e-05,0.000488971,0.000386294,0.000451944,0.000209425,0.000122946,0.005121058,0.064866178,0.012495498,0.000134359,0.084892825,0.014564962,0.017048146,0.005681784,0.001336631,0.000507017,0.016012896
PI 34:1,0.0,0.000366201,0.003242884,0.000987971,0.000128538,0.001554792,0.001807207,0.0,0.001969604,0.004641619,0.002061386,0.000762682,0.003645462,0.004575601,0.005552652,0.003904459,0.003887031,0.000355336,0.002126274,0.003198105
PI 36:4,0.006055308,0.001651298,0.017797189,0.001505395,0.0,0.001846549,0.005159566,0.0,0.000923945,0.006145455,0.021785249,0.008297825,0.015099276,0.016052434,0.027651613,0.007621499,0.011816165,0.003417898,0.002373118,0.065967864
PI 36:5,0.002210713,0.000703933,0.002715834,0.00100658,0.000615357,0.000730007,0.001026206,0.000296847,0.000234589,0.003752268,0.003072544,0.000988833,0.000916727,0.007044496,0.001462124,0.000689509,0.003625686,0.000669363,0.001596189,0.015213843
PI 47:3,0.001269568,0.000170517,0.0,4.32349e-05,7.5377e-05,0.000218315,0.000552205,0.0,0.000205094,0.00128388,0.007086133,0.004598128,0.000285361,0.003599751,0.003516334,0.000493123,0.002813536,0.001311542,0.001611516,0.001805581
PI 7:0_13:0,0.007861055,0.03776216,0.052991384,0.00514256,0.013794812,0.002396061,0.012575061,0.002792315,0.029999433,0.011284271,0.132876335,0.097196889,0.00240139,0.513224763,0.086071625,0.125643625,0.104664799,0.015913063,0.021013307,0.04669302
PI 7:0_18:4,0.000109397,0.000132631,0.000176841,0.000101911,0.0,0.000178052,0.000104053,0.000101702,0.0,0.000552807,0.008480103,0.003142462,5.2072e-05,0.00392824,0.001513705,0.000992822,0.001489391,0.000501414,8.74576e-05,0.002045922
PI(16:0/0:0),0.000639747,0.00027892,0.001153882,0.000387122,0.000188321,0.000270452,4.69533e-05,5.00505e-05,0.015792053,0.000328531,0.03701713,0.011019073,0.000155363,0.003217459,0.001439994,0.00115562,0.001357576,0.001654051,0.000432216,0.018159785
PI(16:1(9Z)/18:0),0.003978371,0.00393477,0.00475727,0.022143288,0.004276944,0.017807653,0.000552038,0.002093142,0.002235776,0.001383572,0.004872428,0.004022968,0.013546731,0.004301263,0.001411409,0.003874713,0.008714398,0.002691707,0.008935655,0.00217534
PI(16:1(9Z)/18:1(11Z)),0.135316464,0.0,0.023399622,0.0,0.246618917,0.003271097,0.009722099,0.000217022,0.001713082,0.027016696,0.018144852,0.055694906,0.032621726,0.085904382,0.035929777,0.018002638,0.022328119,0.051320875,0.009025369,0.023687343
"PI(16:2(9Z,12Z)/LTE4)",0.005037245,0.013956044,0.013167807,0.006370039,0.008194903,0.009975609,0.00757422,0.010907655,0.045050875,0.053833121,0.026883298,0.076114963,0.008762374,0.00895345,0.005713738,0.028215017,0.01781174,0.015137149,0.016356664,0.023112651
PI(18:1/0:0),0.009277808,0.000830228,0.003262577,0.001005624,0.001881879,0.003746521,0.001880742,0.001199568,0.010127832,0.01684548,0.00104741,0.005119094,0.008512862,0.012649565,0.020636466,0.012331777,0.005945799,0.018852337,0.00715262,0.025272786
"PI(18:2(9Z,12Z)/PGE2)",0.000318454,6.50691e-05,0.000232712,4.09694e-05,0.0,4.6025e-05,7.47509e-05,0.0,0.001204158,0.002022264,0.015836176,0.014438433,6.10721e-05,0.007918054,0.001823432,0.000391766,0.001109141,0.003294925,0.000402049,0.030567068
"PI(18:3(6Z,9Z,12Z)/LTE4)",0.005959779,0.004857227,0.00084753,0.006286179,0.005213522,0.010998202,0.000368738,9.34825e-05,0.011700138,0.000635765,0.013905081,0.003391621,0.002114954,0.007032884,0.001179697,0.001409851,0.003562966,0.010775503,0.001697121,0.000748124
PI(20:0/20:4),0.001031574,0.004511953,0.001237278,0.002092058,0.003072046,0.08492768,0.00056901,0.001500791,0.00115326,0.000969312,0.004071964,0.000580301,0.001116067,0.000400509,0.00151222,0.007005843,0.001800572,0.002255184,0.002838918,0.000283419
PI(20:1(11Z)/LTE4),0.002789099,0.062294816,0.060916513,0.020246306,0.012815358,0.020610949,0.012430793,0.007112626,0.108012606,0.018089753,0.014796749,0.070547598,0.008518824,0.051994953,0.044135953,0.046710377,0.178315004,0.037093177,0.009272145,0.011976056
PI(20:1/0:0),0.0017374,0.000386563,0.000375644,0.000728237,0.000300883,0.000245628,0.01086465,0.000387909,0.002326657,0.003865597,0.003309436,0.00131813,0.000339421,0.003497087,0.005127565,0.000283247,0.00053394,0.000311398,0.000719989,0.001933891
PI(20:2/0:0),0.0,0.00015586,0.000620468,6.75301e-05,0.0,0.0,0.000114045,0.0,6.05745e-05,0.000486202,0.002381295,0.000979816,0.00035641,0.00292862,0.000527723,0.001617257,0.001363582,5.8146e-05,0.000202614,0.000972761
"PI(20:3(6,8,11)-OH(5)/22:2(13Z,16Z))",0.002639696,0.000827063,0.024339354,0.001860897,0.000691966,0.00229257,0.018457749,0.00070944,0.001287869,0.002441012,0.010458738,0.001611263,0.001025685,0.008125783,0.020157693,0.011082025,0.009933343,0.000439389,0.001643752,0.012794938
"PI(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/18:3(9Z,12Z,15Z))",0.011650173,6.37873e-05,0.010887797,0.0,7.1904e-05,0.000905001,2.03784e-05,0.0,0.016756342,0.075330853,0.000382456,0.001399846,0.016882245,0.001279376,0.000267327,0.001259619,3.91685e-05,0.044602562,0.0,0.004559187
"PI(22:3(10Z,13Z,16Z)/20:3(6,8,11)-OH(5))",0.0029071,0.012817681,0.000185957,0.002544335,0.003573637,0.004553116,0.001442694,0.005817342,0.030579313,0.006974223,0.00071413,0.003983812,0.001499664,0.001045859,0.000101605,0.001064438,9.67822e-05,0.008280656,0.002463179,0.00098415
"PI(22:4(10Z,13Z,16Z,19Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))",0.000382999,0.001029718,0.001841268,0.000428177,0.001066463,0.00070731,0.000510341,0.000558077,0.001505328,0.001124472,0.019805493,0.019125738,0.00193,0.007246715,0.012796321,0.006269196,0.027787581,0.003123529,0.001108759,0.001831316
PI(22:4/0:0),0.000912353,0.000266798,0.000688621,0.000970119,0.001427783,0.00152204,0.000237297,0.000503201,0.005935281,0.001879886,0.008657873,0.005612819,0.000947269,0.002301652,0.002082805,6.00534e-05,0.000581573,0.009059124,0.003465335,0.013084616
"PI(22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.00144731,0.025881788,0.017034674,0.001057167,0.000996456,0.001527924,0.006755952,0.001747799,0.017016981,0.005758921,0.057491519,0.037875087,0.006661563,0.039840145,0.023405789,0.103065553,0.058362407,0.06335745,0.014407656,0.128997451
"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17))",0.000818427,0.012911857,0.025526899,0.001531638,0.003949302,0.007817076,0.014003838,0.011931528,0.014470832,0.013227492,0.084116879,0.040636462,0.036261829,0.01880185,0.022439292,0.184163311,0.073598738,0.073108705,0.023023488,0.055586084
"PI(22:6(4Z,7Z,11E,13Z,15E,19Z)-2OH(10S,17)/22:5(7Z,10Z,13Z,16Z,19Z))",0.001929815,0.007134249,0.008276602,0.001204398,0.003850356,0.00310527,0.002345862,0.000850276,0.016659701,0.005904838,0.030981974,0.07612861,0.002581191,0.033174194,0.043312764,0.031873938,0.150025243,0.012377583,0.009647543,0.00645313
"PI(22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4)/22:5(7Z,10Z,13Z,16Z,19Z))",0.000106841,0.001469041,0.003755308,0.000108737,0.000467888,0.000906107,0.001216877,0.000986594,0.001676541,0.00179346,0.007893991,0.002327394,0.001474194,0.006692597,0.003845257,0.019455559,0.00829393,0.010590455,0.002221092,0.015211427
"PI(LTE4/16:2(9Z,12Z))",0.002099027,0.010472331,0.005314595,0.002814812,0.00333931,0.00402595,0.003408826,0.006853593,0.024450368,0.028019641,0.001393358,0.054654076,0.000567322,0.004240059,0.001343745,0.001942713,0.005688909,0.007501524,0.004839586,0.03198397
"PI(LTE4/18:3(6Z,9Z,12Z))",0.000382489,0.002900485,0.001769472,0.000509553,0.000233577,0.000298788,0.000553877,0.000332004,0.001871431,0.00172565,0.011075049,0.00460377,0.000415699,0.015634818,0.000955461,0.005406587,0.016620813,0.001554559,0.000849547,0.002516615
"PI(LTE4/20:2(11Z,14Z))",0.004458237,0.31454467,0.303790584,0.097694234,0.03092041,0.098940466,0.063339424,0.063594887,0.547121767,0.130799134,0.028417383,0.37275678,0.068681257,0.251398571,0.229620571,0.352055482,0.90600863,0.180792091,0.088699883,0.085133236
PIP(16:1(9Z)/5-iso PGF2VI),0.000109353,0.00017043,0.007731839,0.000209093,7.19032e-05,9.19447e-05,0.000470555,0.00029763,0.001106725,0.006434728,0.002133755,0.00149273,0.00031575,0.012515929,0.00502206,0.00395822,0.001700604,0.002155688,0.000299766,0.001885245
"PIP(16:2(9Z,12Z)/18:0)",5.21297e-05,0.000126828,0.000422426,0.0,0.0,0.0,4.67215e-05,0.0,0.0,0.0,0.002092488,0.00017038,5.51379e-05,0.001859443,0.001677705,0.002521686,0.005975181,0.000244054,0.0,0.002068741
"PIP(20:4(5Z,8Z,11Z,14Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))",0.004190374,0.033915576,0.028351843,0.011138584,0.004947989,0.005305104,0.007819867,0.009172602,0.042864819,0.07525486,0.05011577,0.082134771,0.005797149,0.020574511,0.012752234,0.070079395,0.032383637,0.018345023,0.024927162,0.025552968
"PIP(22:6(4Z,7Z,10Z,12E,16Z,19Z)-OH(14)/22:3(10Z,13Z,16Z))",0.000702115,0.002489775,0.010315059,0.001691115,0.000977476,0.0012011,0.000673928,0.001355097,0.006987561,0.006482091,0.00857207,0.014936121,0.003442006,0.005006847,0.010004241,0.013100221,0.009045818,0.007623352,0.002004536,0.004026343
PIP(6 keto-PGF1alpha/20:1(11Z)),0.004942919,0.013129969,0.002245286,0.005036922,0.001439106,0.00348481,0.000676917,0.005333264,0.019762386,0.018836935,0.001135999,0.008244314,0.00791456,0.002892067,0.006841625,0.004637472,0.001446695,0.000786565,0.009391027,0.002531078
PIP(LTE4/20:1(11Z)),0.000353215,0.005398883,0.00172075,0.00042004,0.000347789,0.00029974,0.000668503,0.000331092,0.001386125,0.002189595,0.006364825,0.014662949,0.000638889,0.006313635,0.000888323,0.001989647,0.001011885,0.005706204,0.000892777,0.003735682
"PIP(PGD1/20:3(8Z,11Z,14Z))",6.30232e-05,0.001857115,0.00272303,4.0659e-05,0.00035702,0.001548969,0.001315113,0.001372912,0.001832104,0.001722937,0.040581873,0.005053589,0.000369501,0.002181506,0.001934317,0.002562902,0.003321247,0.005315046,0.002280257,0.003746979
"PIP(PGD2/20:3(8Z,11Z,14Z))",0.001297479,0.003711559,0.001233514,0.001541595,0.001427462,0.001402346,0.001124693,0.002162531,0.00875235,0.006992007,0.010712753,0.011928028,0.001693456,0.0178708,0.000776037,0.006248133,0.002708645,0.009782002,0.002217623,0.002356237
PIP(PGF1alpha/16:0),0.00139086,0.003573809,0.003329917,0.002710594,0.000958854,0.001622142,0.00139183,0.002178923,0.009205784,0.01902821,0.000665396,0.031557936,0.000211809,0.002096312,0.000327593,0.00693351,0.003699947,0.002943148,0.002087896,0.008742017
PIP(PGF1alpha/20:0),0.001717898,0.189857507,0.173506145,0.056898539,0.026042772,0.066745061,0.038590793,0.038116416,0.326420141,0.076922476,0.017948091,0.20243961,0.040371689,0.149150121,0.135954186,0.205524121,0.549170452,0.075234485,0.059383939,0.014706967
PIP2(18:0/16:0),0.000908082,0.000182743,0.003773958,0.001601703,0.000857974,0.00443411,0.000472859,0.000390914,0.002067804,0.00139015,0.001783913,0.001096669,0.000127999,0.002220298,0.000387659,0.001459661,0.001453474,0.002125504,0.000186819,0.004783466
PIP2(18:1(11Z)/16:1(9Z)),0.001414896,0.002163414,0.0007994,0.000999249,0.000634387,0.000701311,0.001157719,0.000232172,0.001978674,0.007043144,0.000940027,0.01619055,0.001109654,0.00139625,0.001167776,0.005265455,0.001002285,0.021152684,0.005210993,0.001468956
PIP3(16:0/16:0),0.012035238,0.006084463,0.00229536,0.008292648,0.003266132,0.007721561,0.001914968,0.000522453,0.007540206,0.014919199,0.007138421,0.022718806,0.003787768,0.003937242,0.004527242,0.003001095,0.000223454,0.119251952,0.029621182,0.00859472
"PIP3(18:2(9Z,12Z)/20:1(11Z))",0.003179155,0.005780315,0.000557631,0.002121165,0.002712132,0.002673572,0.001537899,0.001740663,0.013072146,0.00112663,0.001867334,0.001625327,0.004410264,0.001881554,0.000501954,0.000989623,0.000174946,0.002617531,0.005238329,0.000609733
