Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
6α-METHYLPREDNISOLONE ACETATE,0.070132654,0.036553763,0.044980457,0.038922118,0.083625012,0.052077649,0.022612319,0.062966857,0.075742148,0.057433271,0.028741012,0.059832245,0.036937848,0.024854603,0.021010115,0.022949727,0.040340174,0.079157674,0.050271969,0.0177623
7-Hydroxyflavanone beta-D-glucopyranoside,0.017793121,0.047500163,0.001811662,0.01163098,0.015908339,0.007534228,0.051807758,0.027709392,0.008754296,0.003477639,0.004742322,0.001303885,0.008509644,0.015947102,0.026314706,0.001280452,0.000657593,0.007119587,0.017751875,0.037816619
7-Methyl-3-oxo-6-octenoyl-CoA,0.010776624,0.009188245,0.003918963,0.008120358,0.016136419,0.011063249,0.002161295,0.014847873,0.015495878,0.00866403,0.005301862,0.01259407,0.00366149,0.002943584,0.002840539,0.000906144,0.005724513,0.012651125,0.007028592,0.003583186
7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,0.019886787,0.0,0.036963994,0.000245226,0.000102003,0.000413865,0.0,0.0,0.022109729,0.207691266,0.000922071,0.004950163,0.033887677,0.005122828,0.001036675,0.00581893,0.000344204,0.176045987,0.000106824,0.013677221
7alpha-Hydroxy-3-oxo-4-cholestenoate,0.0,0.001439201,0.017195816,0.000499131,0.000931694,0.000903121,0.00692015,0.000333612,0.002055771,0.014339227,0.034422496,0.019539393,0.000285448,0.036142627,0.033085134,0.014011247,0.027728049,0.0,0.003770448,0.035924751
"7α,27-dihydroxycholesterol",0.002792873,0.00154224,0.001822778,0.001876826,0.00249057,0.001845817,0.001127044,0.002277814,0.002875345,0.002551782,0.017997126,0.002881887,0.001186729,0.005363177,0.00436169,0.001048423,0.014262062,0.002767726,0.00204133,0.021782644
8(S)-HETE,0.011845731,0.017085933,0.028737615,0.002408973,0.00379855,0.004000287,0.006139981,0.005038301,0.015710975,0.012967956,0.025321349,0.033018405,0.0021043,0.029679103,0.03067651,0.018969423,0.01979302,0.022355412,0.005177708,0.019046151
8-HETE,0.080730893,0.042192638,0.017665363,0.027720587,0.026893381,0.029060407,0.023467024,0.014233896,0.242260308,0.10865995,0.04060678,0.089779597,0.008739735,0.059656684,0.040777115,0.042099489,0.033128938,0.109760408,0.049043485,0.011075277
"9,9'-di-cis-zeta-carotene",0.004878472,0.001952348,0.007734436,0.001927265,0.003319026,0.001938908,0.002017196,0.002715246,0.002592697,0.003133746,0.014199834,0.007445032,0.001673068,0.015900468,0.016363503,0.004308812,0.008364619,0.003877715,0.003996867,0.0126099
9Z-Octadecenedioic acid,0.001388392,0.000962299,0.001581892,0.000392871,0.000576483,0.000739584,0.000423336,0.001357199,0.001349762,0.003808602,0.002865773,0.005752069,0.000813955,0.022956541,0.000546234,0.00133518,0.003396584,0.006964988,0.000771977,0.010714532
Abietic acid,0.011846904,0.004477093,0.009198472,0.003567269,0.006783583,0.004876109,0.002129289,0.003185198,0.00607795,0.00335109,0.029655392,0.010947769,0.003696258,0.138997431,0.031011118,0.009218911,0.006516249,0.004888895,0.006076805,0.037807954
