community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	B_bin.1	B_bin.21	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.21	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.21	M_h2s_e	0.04	0.04	1	0.0016
all	minimal	B_bin.1	B_bin.21	M_h_e	0.04	0.03	1	0.0012
all	minimal	B_bin.1	B_bin.21	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.23	M_4abz_e	0.54	0.06	1	0.0324
all	minimal	B_bin.1	B_bin.23	M_LalaDgluMdapDala_e	0.54	0.88	1	0.4752
all	minimal	B_bin.1	B_bin.23	M_acald_e	0.54	0.02	1	0.0108
all	minimal	B_bin.1	B_bin.23	M_anhgm_e	0.54	0.02	1	0.0108
all	minimal	B_bin.1	B_bin.23	M_arg__L_e	0.54	1.0	1	0.54
all	minimal	B_bin.1	B_bin.23	M_fe2_e	0.54	1.0	1	0.54
all	minimal	B_bin.1	B_bin.23	M_fe3_e	0.54	0.01	1	0.0054
all	minimal	B_bin.1	B_bin.23	M_gam6p_e	0.54	0.44	1	0.2376
all	minimal	B_bin.1	B_bin.23	M_glyc_e	0.54	0.02	1	0.0108
all	minimal	B_bin.1	B_bin.23	M_h2s_e	0.54	0.04	1	0.0216
all	minimal	B_bin.1	B_bin.23	M_h_e	0.54	0.03	1	0.0162
all	minimal	B_bin.1	B_bin.23	M_leu__L_e	0.54	1.0	1	0.54
all	minimal	B_bin.1	B_bin.23	M_nh4_e	0.54	0.01	1	0.0054
all	minimal	B_bin.1	B_bin.23	M_o2_e	0.54	0.4	1	0.21600000000000003
all	minimal	B_bin.1	B_bin.24	M_4abz_e	0.04	0.06	1	0.0024
all	minimal	B_bin.1	B_bin.24	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.24	M_alaala_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.24	M_anhgm_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.24	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.24	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.24	M_gal_e	0.04	0.28	1	0.011200000000000002
all	minimal	B_bin.1	B_bin.24	M_glc__D_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.24	M_glyc_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.24	M_h2s_e	0.04	0.04	1	0.0016
all	minimal	B_bin.1	B_bin.24	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.25	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.25	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.25	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.25	M_h2s_e	0.04	0.04	1	0.0016
all	minimal	B_bin.1	B_bin.25	M_h_e	0.04	0.03	1	0.0012
all	minimal	B_bin.1	B_bin.25	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.26	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.26	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.26	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.26	M_h2s_e	0.04	0.04	1	0.0016
all	minimal	B_bin.1	B_bin.26	M_h_e	0.04	0.03	1	0.0012
all	minimal	B_bin.1	B_bin.26	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.28	M_4abz_e	0.22	0.06	1	0.0132
all	minimal	B_bin.1	B_bin.28	M_LalaDgluMdapDala_e	0.22	0.88	1	0.1936
all	minimal	B_bin.1	B_bin.28	M_acald_e	0.22	0.02	1	0.0044
all	minimal	B_bin.1	B_bin.28	M_alaala_e	0.22	0.01	1	0.0022
all	minimal	B_bin.1	B_bin.28	M_anhgm_e	0.22	0.02	1	0.0044
all	minimal	B_bin.1	B_bin.28	M_fe2_e	0.22	1.0	1	0.22
all	minimal	B_bin.1	B_bin.28	M_fe3_e	0.22	0.01	1	0.0022
all	minimal	B_bin.1	B_bin.28	M_glc__D_e	0.22	0.01	1	0.0022
all	minimal	B_bin.1	B_bin.28	M_glyc_e	0.22	0.02	1	0.0044
all	minimal	B_bin.1	B_bin.28	M_h2s_e	0.22	0.04	1	0.0088
all	minimal	B_bin.1	B_bin.28	M_h_e	0.22	0.03	1	0.0066
all	minimal	B_bin.1	B_bin.28	M_nh4_e	0.22	0.01	1	0.0022
all	minimal	B_bin.1	B_bin.29	M_acald_e	0.06	0.02	1	0.0012
all	minimal	B_bin.1	B_bin.29	M_anhgm_e	0.06	0.02	1	0.0012
all	minimal	B_bin.1	B_bin.29	M_fe2_e	0.06	1.0	1	0.06
all	minimal	B_bin.1	B_bin.29	M_fe3_e	0.06	0.01	1	0.0006
all	minimal	B_bin.1	B_bin.29	M_glyc_e	0.06	0.02	1	0.0012
all	minimal	B_bin.1	B_bin.29	M_h2s_e	0.06	0.04	1	0.0024
all	minimal	B_bin.1	B_bin.29	M_h_e	0.06	0.03	1	0.0018
all	minimal	B_bin.1	B_bin.29	M_nh4_e	0.06	0.01	1	0.0006
all	minimal	B_bin.1	B_bin.29	M_o2_e	0.06	0.4	1	0.024
all	minimal	B_bin.1	B_bin.3	M_acald_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.3	M_fe2_e	0.05	1.0	1	0.05
all	minimal	B_bin.1	B_bin.3	M_fe3_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.3	M_h_e	0.05	0.03	1	0.0015
all	minimal	B_bin.1	B_bin.3	M_nh4_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.31	M_fe2_e	0.08	1.0	1	0.08
all	minimal	B_bin.1	B_bin.31	M_fe3_e	0.08	0.01	1	0.0008
all	minimal	B_bin.1	B_bin.31	M_h_e	0.08	0.03	1	0.0024
all	minimal	B_bin.1	B_bin.31	M_nh4_e	0.08	0.01	1	0.0008
all	minimal	B_bin.1	B_bin.32	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.32	M_alaala_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.32	M_anhgm_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.32	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.32	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.32	M_gal_e	0.04	0.28	1	0.011200000000000002
all	minimal	B_bin.1	B_bin.32	M_gam6p_e	0.04	0.44	1	0.0176
all	minimal	B_bin.1	B_bin.32	M_glyc_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.32	M_h_e	0.04	0.03	1	0.0012
all	minimal	B_bin.1	B_bin.32	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.32	M_o2_e	0.04	0.4	1	0.016
all	minimal	B_bin.1	B_bin.33	M_4abz_e	0.04	0.06	1	0.0024
all	minimal	B_bin.1	B_bin.33	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.33	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.33	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.34	M_acald_e	0.21	0.02	1	0.0042
all	minimal	B_bin.1	B_bin.34	M_anhgm_e	0.21	0.02	1	0.0042
all	minimal	B_bin.1	B_bin.34	M_fe3_e	0.21	0.01	1	0.0021
all	minimal	B_bin.1	B_bin.34	M_h2s_e	0.21	0.04	1	0.0084
all	minimal	B_bin.1	B_bin.34	M_h_e	0.21	0.03	1	0.006299999999999999
all	minimal	B_bin.1	B_bin.34	M_nh4_e	0.21	0.01	1	0.0021
all	minimal	B_bin.1	B_bin.34	M_o2_e	0.21	0.4	1	0.084
all	minimal	B_bin.1	B_bin.37	M_4abz_e	0.49	0.06	1	0.0294
all	minimal	B_bin.1	B_bin.37	M_acald_e	0.49	0.02	1	0.0098
all	minimal	B_bin.1	B_bin.37	M_alaala_e	0.49	0.01	1	0.0049
all	minimal	B_bin.1	B_bin.37	M_anhgm_e	0.49	0.02	1	0.0098
all	minimal	B_bin.1	B_bin.37	M_cys__L_e	0.49	0.27	1	0.1323
